time,pm10,pm2.5
2018-04-10:08,35,24
2018-04-10:07,33,28
2018-04-10:06,30,
2018-04-10:05,47,35
2018-04-10:04,54,36
2018-04-10:03,54,40
2018-04-10:02,59,44
2018-04-10:01,89,46
2018-04-09:24,66,43
2018-04-09:23,77,34
2018-04-09:22,66,25
2018-04-09:21,58,15
2018-04-09:20,56,6
2018-04-09:19,45,12
2018-04-09:18,50,17
2018-04-09:17,44,21
2018-04-09:16,24,23
2018-04-09:15,,
2018-04-09:14,,
2018-04-09:13,31,
2018-04-09:12,38,36
2018-04-09:11,44,35
2018-04-09:10,49,37
2018-04-09:09,61,42
2018-04-09:08,67,41
2018-04-09:07,61,40
2018-04-09:06,65,40
2018-04-09:05,66,40
2018-04-09:04,92,39
2018-04-09:03,96,36
2018-04-09:02,100,32
2018-04-09:01,93,29
2018-04-08:24,86,28
2018-04-08:23,87,25
2018-04-08:22,74,21
2018-04-08:21,64,17
2018-04-08:20,74,14
2018-04-08:19,80,13
2018-04-08:18,78,12
2018-04-08:17,64,10
2018-04-08:16,55,7
2018-04-08:15,31,4
2018-04-08:14,35,3
2018-04-08:13,22,6
2018-04-08:12,15,14
2018-04-08:11,24,14
2018-04-08:10,25,12
2018-04-08:09,24,11
2018-04-08:08,17,12
2018-04-08:07,33,12
2018-04-08:06,27,12
2018-04-08:05,30,12
2018-04-08:04,35,17
2018-04-08:03,30,26
2018-04-08:02,32,30
2018-04-08:01,44,13
2018-04-07:24,31,10
2018-04-07:23,31,11
2018-04-07:22,26,13
2018-04-07:21,23,12
2018-04-07:20,33,9
2018-04-07:19,26,7
2018-04-07:18,37,8
2018-04-07:17,45,8
2018-04-07:16,53,10
2018-04-07:15,42,11
2018-04-07:14,43,14
2018-04-07:13,58,16
2018-04-07:12,67,17
2018-04-07:11,77,16
2018-04-07:10,68,18
2018-04-07:09,76,19
2018-04-07:08,78,16
2018-04-07:07,77,14
2018-04-07:06,64,16
2018-04-07:05,64,27
2018-04-07:04,56,37
2018-04-07:03,61,30
2018-04-07:02,64,36
2018-04-07:01,73,42
2018-04-06:24,79,43
2018-04-06:23,83,37
2018-04-06:22,92,26
2018-04-06:21,90,20
2018-04-06:20,124,21
2018-04-06:19,141,25
2018-04-06:18,155,30
2018-04-06:17,209,35
2018-04-06:16,309,38
2018-04-06:15,258,36
2018-04-06:14,201,31
2018-04-06:13,152,25
2018-04-06:12,96,22
2018-04-06:11,70,14
2018-04-06:10,18,10
2018-04-06:09,8,8
2018-04-06:08,6,
2018-04-06:07,10,7
2018-04-06:06,9,8
2018-04-06:05,7,
2018-04-06:04,12,10
2018-04-06:03,13,10
2018-04-06:02,13,7
2018-04-06:01,4,4
2018-04-05:24,7,4
2018-04-05:23,4,4
2018-04-05:22,6,4
2018-04-05:21,5,5
2018-04-05:20,7,3
2018-04-05:19,9,1
2018-04-05:18,8,1
2018-04-05:17,6,2
2018-04-05:16,6,1
2018-04-05:15,4,3
2018-04-05:14,7,5
2018-04-05:13,13,5
2018-04-05:12,17,2
2018-04-05:11,8,1
2018-04-05:10,3,2
2018-04-05:09,3,3
2018-04-05:08,7,3
2018-04-05:07,3,3
2018-04-05:06,3,
2018-04-05:05,7,5
2018-04-05:04,10,5
2018-04-05:03,8,4
2018-04-05:02,11,1
2018-04-05:01,4,1
2018-04-04:24,8,2
2018-04-04:23,5,2
2018-04-04:22,7,2
2018-04-04:21,9,2
2018-04-04:20,14,4
2018-04-04:19,13,4
2018-04-04:18,12,3
2018-04-04:17,12,3
2018-04-04:16,22,4
2018-04-04:15,7,5
2018-04-04:14,10,8
2018-04-04:13,7,
2018-04-04:12,20,16
2018-04-04:11,19,16
2018-04-04:10,17,10
2018-04-04:09,31,6
2018-04-04:08,13,3
2018-04-04:07,6,5
2018-04-04:06,3,
2018-04-04:05,21,14
2018-04-04:04,48,14
2018-04-04:03,50,11
2018-04-04:02,45,7
2018-04-04:01,34,8
2018-04-03:24,36,13
2018-04-03:23,48,25
2018-04-03:22,70,37
2018-04-03:21,91,24
2018-04-03:20,111,18
2018-04-03:19,108,16
2018-04-03:18,113,17
2018-04-03:17,113,19
2018-04-03:16,93,25
2018-04-03:15,102,21
2018-04-03:14,99,23
2018-04-03:13,60,30
2018-04-03:12,62,33
2018-04-03:11,55,
2018-04-03:10,44,11
2018-04-03:09,50,11
2018-04-03:08,51,
2018-04-03:07,46,10
2018-04-03:06,48,10
2018-04-03:05,36,10
2018-04-03:04,46,10
2018-04-03:03,48,10
2018-04-03:02,54,16
2018-04-03:01,45,22
2018-04-02:24,52,11
2018-04-02:23,47,2
2018-04-02:22,52,1
2018-04-02:21,53,5
2018-04-02:20,74,7
2018-04-02:19,86,1
2018-04-02:18,102,1
2018-04-02:17,103,1
2018-04-02:16,,
2018-04-02:15,,
2018-04-02:14,71,16
2018-04-02:13,68,14
2018-04-02:12,70,15
2018-04-02:11,69,16
2018-04-02:10,61,16
2018-04-02:09,52,17
2018-04-02:08,57,18
2018-04-02:07,58,17
2018-04-02:06,62,19
2018-04-02:05,65,20
2018-04-02:04,76,18
2018-04-02:03,,
2018-04-02:02,86,17
2018-04-02:01,98,13
2018-04-01:24,73,13
2018-04-01:23,82,14
2018-04-01:22,85,14
2018-04-01:21,86,16
2018-04-01:20,94,15
2018-04-01:19,92,13
2018-04-01:18,90,13
2018-04-01:17,115,12
2018-04-01:16,118,9
2018-04-01:15,102,7
2018-04-01:14,77,8
2018-04-01:13,68,13
2018-04-01:12,66,16
2018-04-01:11,64,18
2018-04-01:10,71,21
2018-04-01:09,82,22
2018-04-01:08,67,23
2018-04-01:07,71,23
2018-04-01:06,63,23
2018-04-01:05,65,23
2018-04-01:04,69,23
2018-04-01:03,72,22
2018-04-01:02,76,20
2018-04-01:01,66,16
